Gene,logFC,P-value,Adj_P
ILMN_1773031,0.33817240873529464,4.912252541031909e-05,0.0037317661339712573
ILMN_1717420,0.2846103341568629,5.047742980603435e-05,0.0037757691102070583
ILMN_2339825,0.1648104993137247,5.102390502408884e-05,0.003795083105322766
ILMN_1815039,-0.1555087409705891,5.1465337990137806e-05,0.0038064110934840686
ILMN_1758798,-0.26454364096078553,5.1761589265141735e-05,0.0038069347635507874
ILMN_3241051,-0.3336276475098039,5.2361077768997645e-05,0.003808472866457757
ILMN_3225591,-0.33966786053921716,5.235264546659853e-05,0.003808472866457757
ILMN_1710906,0.2632986168137261,5.4360575480285565e-05,0.003908563545617186
ILMN_2193325,-0.38710679998039144,5.474030821363427e-05,0.003908563545617186
ILMN_1686194,-0.2140342179117658,5.440678774686656e-05,0.003908563545617186
ILMN_1795561,0.3480814014705871,5.4924744089569275e-05,0.003908563545617186
ILMN_2055781,-0.5119560624215689,5.62727444347691e-05,0.003982960647762017
ILMN_3307926,0.17022428646078502,5.805583264777176e-05,0.004002799408765588
ILMN_1717197,-0.4083280963039213,5.74316095987681e-05,0.004002799408765588
ILMN_1865764,-0.2653069463333333,5.7567646344743216e-05,0.004002799408765588
ILMN_3290199,-0.21160081068627257,5.807327664825122e-05,0.004002799408765588
ILMN_3213531,-0.22137014254902,5.737486468237248e-05,0.004002799408765588
ILMN_1707631,-0.20995966885294148,5.9232724371898474e-05,0.004061452168521059
ILMN_3289100,-0.3305056085588234,5.9807892287641274e-05,0.004068916405405494
ILMN_1677466,0.30271848600980356,6.018109108538521e-05,0.004068916405405494
ILMN_1806713,0.20655221688235326,6.026879597828115e-05,0.004068916405405494
ILMN_1753782,-0.2875730068529423,6.112653978178963e-05,0.004083186053586316
ILMN_1742521,0.1818040666764702,6.198012424979397e-05,0.004083186053586316
ILMN_2157951,0.2244358307352945,6.126431379586236e-05,0.004083186053586316
ILMN_1772261,-0.1383617772156871,6.182643928285002e-05,0.004083186053586316
ILMN_1793732,-0.2368786733039201,6.203093131160374e-05,0.004083186053586316
ILMN_2171461,0.2992700548529408,6.324376198353079e-05,0.004121802606500905
ILMN_2412927,-0.16860171317647055,6.321728331016813e-05,0.004121802606500905
ILMN_1739985,0.3945052070784296,6.412481492709225e-05,0.004158636396626451
ILMN_1804798,-0.324286415745096,6.533923264676973e-05,0.00416100454227502
ILMN_1677085,0.21098705855882294,6.508019831375572e-05,0.00416100454227502
ILMN_3290497,-0.1834597085294103,6.482606611284009e-05,0.00416100454227502
ILMN_2338452,0.26540509604901885,6.542559363850582e-05,0.00416100454227502
ILMN_1676408,0.37304846300980365,6.593076200588926e-05,0.004172973470228519
ILMN_1795944,0.3417136615490186,6.629983455726945e-05,0.004173103622403872
ILMN_1684789,-0.16398795643137287,6.688377245174455e-05,0.004173103622403872
ILMN_1772627,-0.6139237680294123,6.682552358026414e-05,0.004173103622403872
ILMN_1723141,0.2938770675882356,6.902359790814065e-05,0.004265250390672039
ILMN_1793549,-0.340954085303923,6.933259275380298e-05,0.004265250390672039
ILMN_1743966,-0.27464779345098034,6.87880369597527e-05,0.004265250390672039
ILMN_1666553,-0.21678903749019618,7.05935265504957e-05,0.004322622218778027
ILMN_2401769,-0.2518956861470585,7.133250775076731e-05,0.00434765029879098
ILMN_1786893,0.12581822584313684,7.350981486461039e-05,0.004453011015709142
ILMN_1716014,-0.3283320824313716,7.373766816745865e-05,0.004453011015709142
ILMN_1740466,0.26204489962744937,7.46385759838787e-05,0.0044868349444190095
ILMN_3201365,-0.362131323343136,7.656993445111946e-05,0.0045612813893619346
ILMN_1734316,0.14741030440196035,7.628799578597941e-05,0.0045612813893619346
ILMN_1891944,0.3999913327745084,7.883915465470524e-05,0.004630359250609709
ILMN_1686805,0.21811497389215795,7.902182170394221e-05,0.004630359250609709
ILMN_2412549,-0.23947970304901922,7.91364095242829e-05,0.004630359250609709
ILMN_1795158,0.20533160818627394,7.83757142454708e-05,0.004630359250609709
ILMN_1768391,-0.32702122504902054,7.979467190918663e-05,0.004648216175594876
ILMN_3228294,-0.2577716314117655,8.175623066250955e-05,0.004741501218819111
ILMN_1692199,0.22033330420588193,8.292007644584023e-05,0.004787907045655643
ILMN_1685258,-0.20863092277451045,8.3845961190539e-05,0.004820227419534698
ILMN_1915188,-0.3070144962549022,8.53479228410682e-05,0.004843126742252857
ILMN_3235013,-0.3583029084215674,8.52261183495689e-05,0.004843126742252857
ILMN_1810488,0.16787271885294075,8.481111276666264e-05,0.004843126742252857
ILMN_1796423,-0.41909159709803934,8.667470019072543e-05,0.004857310734889266
ILMN_1788742,-0.28846564882352865,8.786872604281019e-05,0.004857310734889266
ILMN_1797988,-0.47796317755882267,8.773560404657652e-05,0.004857310734889266
ILMN_2243308,0.2586766033529404,8.818057467820239e-05,0.004857310734889266
ILMN_1677262,-0.30278920333333126,8.760641581831832e-05,0.004857310734889266
ILMN_1768814,0.22855191672549058,8.796402612724074e-05,0.004857310734889266
ILMN_1799516,-0.23230032064705775,8.600373620933207e-05,0.004857310734889266
ILMN_3280019,-0.29832929991176727,8.910319961306253e-05,0.004887681762108201
ILMN_1744604,0.21756656885294134,9.022230161700087e-05,0.004894978953394893
ILMN_2175465,-0.18775015773529624,8.970134382562765e-05,0.004894978953394893
ILMN_3294222,-0.3929179042647082,9.035168140333908e-05,0.004894978953394893
ILMN_2347949,0.17151417594117646,9.10879256073981e-05,0.004914641559923754
ILMN_3200484,-0.23901206650000173,9.229746082162329e-05,0.004959575802925186
ILMN_3275345,-0.2757510295196095,9.467840635742514e-05,0.005028291352421925
ILMN_1665219,-0.3137812664313726,9.472208548428692e-05,0.005028291352421925
ILMN_2191568,-0.2067942699999996,9.403524081519136e-05,0.005028291352421925
ILMN_2038773,0.14350603656862582,9.513375524511349e-05,0.005029863003220559
ILMN_3195253,-0.34455191876470437,9.558410831289014e-05,0.005033459143756794
ILMN_1753712,0.2313060142058827,9.692345170993013e-05,0.005083654349646335
ILMN_2297864,0.24876322612745172,9.781984141708184e-05,0.0051103103660947715
ILMN_3251728,0.2553375861078431,9.826660173996341e-05,0.005113358940342365
ILMN_1651228,-0.2918829945098018,0.00010004664473912337,0.005144976867150622
ILMN_3178406,-0.21613700955882376,9.972890502081876e-05,0.005144976867150622
ILMN_1674983,-0.3454165530588238,9.962235683811177e-05,0.005144976867150622
ILMN_1659659,-0.2795863718235303,0.0001004773414852071,0.005147020236002924
ILMN_2075927,0.2588115283333323,0.00010142229937820306,0.005175289036100943
ILMN_3306215,-0.34570473037254956,0.00010225718508664274,0.005197744562415643
ILMN_1661196,0.29664968495098076,0.00010441823429178304,0.005265788716624106
ILMN_1754220,-0.18204839418627294,0.00010586788011447099,0.005265788716624106
ILMN_1674064,-0.19110213366666606,0.00010599574704940282,0.005265788716624106
ILMN_2395204,-0.16143805567647185,0.00010411452099783994,0.005265788716624106
ILMN_3279675,-0.3296516127058844,0.00010572437954206228,0.005265788716624106
ILMN_3193623,-0.37401253034313786,0.00010547307974081136,0.005265788716624106
ILMN_1794165,0.2760394601960776,0.00010648508163565118,0.0052702109012531875
ILMN_2403228,0.8244630005490174,0.00010738389076792052,0.005294789969886418
ILMN_1739441,-0.18888551769607975,0.00010788514661769165,0.005299656549335487
ILMN_1693039,0.16145023907843203,0.00011042830655414088,0.0053844024288343135
ILMN_1658144,-0.2281584928431375,0.00011003389586875722,0.0053844024288343135
ILMN_1795856,0.26196240999019693,0.00011108732846173305,0.005396548631729578
ILMN_1795228,0.13446281785294367,0.00011562602977818442,0.005555535335875174
ILMN_3283664,-0.2429361796764713,0.00011521708995750678,0.005555535335875174
ILMN_1811330,-0.2764951994509808,0.00011483045037279266,0.005555535335875174
ILMN_1797298,0.16059634572549086,0.00011889549377657847,0.005643831297485385
ILMN_1805481,-0.29087209410784265,0.00011917851125719232,0.005643831297485385
ILMN_1807981,-0.25641028254901954,0.00011916626330370964,0.005643831297485385
ILMN_1815054,0.5218681166176471,0.00011898235690257956,0.005643831297485385
ILMN_2048982,-0.3364083854901976,0.00012015812092620794,0.0056698267454965146
ILMN_1668179,0.20790066476470548,0.00012198956516539228,0.005715587519870169
ILMN_3292008,-0.3039881163627447,0.00012199620912142175,0.005715587519870169
ILMN_1740523,-0.23666673242156921,0.0001232081755010136,0.005733062311802291
ILMN_1751051,0.2195485257058829,0.00012324015451880353,0.005733062311802291
ILMN_2316236,-0.4072046006862733,0.00012371115716896085,0.005734709099047076
ILMN_1654778,0.30721505835294227,0.00012481685671680455,0.005765662872549936
ILMN_1728684,-0.22357484494117763,0.0001264721008836437,0.005801411875028465
ILMN_1772998,-0.31214916011764693,0.00012620928307551267,0.005801411875028465
ILMN_2343097,-0.3564191540588224,0.00012837541290999395,0.0058682719130558
ILMN_1703370,0.25735425091176456,0.0001288774552485145,0.005870836326459147
ILMN_1694711,0.23538456800980256,0.00012979958779909954,0.005892453701293605
ILMN_2379967,0.5828581605588248,0.0001305731308081156,0.0059072002305458485
ILMN_2402272,-0.26076090107843264,0.00013120695361481085,0.0059155463847225505
ILMN_2396991,-0.29395578326470506,0.00013293740974111462,0.005973109212429263
ILMN_3243859,-0.2398319299705891,0.000135199547986049,0.005973977470939578
ILMN_1814011,-0.2870662269803912,0.00013512638891217938,0.005973977470939578
ILMN_1727073,-0.14772899146078533,0.00013396575649332883,0.005973977470939578
ILMN_1663538,-0.36179344499019717,0.00013522330577337015,0.005973977470939578
ILMN_2300970,-0.20427197909803674,0.00013522561992707896,0.005973977470939578
ILMN_1791754,0.369041808421569,0.00013590223306738123,0.005983788957632355
ILMN_1697348,-0.19973687242156934,0.0001371619633704966,0.00601912415924196
ILMN_3206132,-0.34683040190195946,0.00013960722763068286,0.006106076916139335
ILMN_1787345,-0.28254037204902094,0.00014104997376440193,0.00611125321752461
ILMN_1708143,0.2000354454215687,0.00014090776954426074,0.00611125321752461
ILMN_2358277,-0.13188203652941155,0.0001411181905148106,0.00611125321752461
ILMN_1801610,0.3005733048921573,0.00014227505429549394,0.00613000853653494
ILMN_1869913,0.4370752312843136,0.0001424825379551608,0.00613000853653494
ILMN_1803772,0.17173968118627503,0.000144168110384932,0.006167680734169108
ILMN_1696839,-0.23568795401960685,0.00014429515124375885,0.006167680734169108
ILMN_1695991,-0.31403546607843236,0.0001458615586775391,0.006201341271481407
ILMN_1689097,-0.20715073008823737,0.0001460247469927259,0.006201341271481407
ILMN_2149566,0.14779923449019705,0.00014771621171498495,0.006253002981439797
ILMN_1658016,-0.34054518950000023,0.00014912630926394577,0.0062924610944225835
ILMN_3207738,-0.3571292874019587,0.0001500362991297052,0.00631063219821907
ILMN_3278170,0.26131599560784213,0.00015116883602118452,0.006338018236365905
ILMN_2330267,-0.23754133843137293,0.00015165113046761456,0.006338054389225859
ILMN_1799134,-0.4347529896568645,0.00015565672142604046,0.006373553230822437
ILMN_2049536,-0.2026382310098045,0.00015670186626329637,0.006373553230822437
ILMN_1800197,-0.19293926847058795,0.00015521954775230177,0.006373553230822437
ILMN_3248324,0.4159954219705879,0.00015329630879880232,0.006373553230822437
ILMN_1815303,-0.1769892591274509,0.00015427004009442268,0.006373553230822437
ILMN_1774890,-0.20380200900000212,0.00015606288405440585,0.006373553230822437
ILMN_1657423,0.19466531878431415,0.00015582780290728524,0.006373553230822437
ILMN_1798612,0.3701023386568627,0.00015541984818081414,0.006373553230822437
ILMN_1665761,-0.4240050525196084,0.00015685767161310063,0.006373553230822437
ILMN_1753243,-0.13704311920588275,0.00015745289472256729,0.006378053412377226
